Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8722,BARRIO ENRIQUE DELFINO,2,BARRIO ENRIQUE DELFINO,2,2 - BUENOS AIRES
8723,BARRIO FERRINI,2,BARRIO FERRINI,2,2 - BUENOS AIRES
8724,BARRIO LOS TRONCOS DEL TALAR,2,BARRIO LOS TRONCOS DEL TALAR,2,2 - BUENOS AIRES
8725,BARRIO RESIDENCIAL ESTANCIA GE,2,BARRIO RESIDENCIAL ESTANCIA GE,2,2 - BUENOS AIRES
8726,"BARRIO RICARDO ROJAS ,GENERAL",2,"BARRIO RICARDO ROJAS ,GENERAL",2,2 - BUENOS AIRES
8727,BARRIO RODRIGUEZ,2,BARRIO RODRIGUEZ,2,2 - BUENOS AIRES
8728,BARRIO TRONCOS DEL TALAR,2,BARRIO TRONCOS DEL TALAR,2,2 - BUENOS AIRES
8729,DOCTOR RICARDO ROJAS,2,DOCTOR RICARDO ROJAS,2,2 - BUENOS AIRES
8730,EL EMBRUJO,2,EL EMBRUJO,2,2 - BUENOS AIRES
8733,"KM. 31 ,APEADERO FCGM",2,"KM. 31 ,APEADERO FCGM",2,2 - BUENOS AIRES
8734,LA PALOMA,2,LA PALOMA,2,2 - BUENOS AIRES
8735,LOPEZ CAMELO,2,LOPEZ CAMELO,2,2 - BUENOS AIRES
8736,PARQUE SAN LORENZO,2,PARQUE SAN LORENZO,2,2 - BUENOS AIRES
8738,VILLA LAS TUNAS,2,VILLA LAS TUNAS,2,2 - BUENOS AIRES
8739,BARRIO BELIERA,2,BARRIO BELIERA,2,2 - BUENOS AIRES
8740,BARRIO KILOMETRO 48,2,BARRIO KILOMETRO 48,2,2 - BUENOS AIRES
8741,BARRIO LOS CACHORROS,2,BARRIO LOS CACHORROS,2,2 - BUENOS AIRES
8742,BARRIO SANTA TERESA,2,BARRIO SANTA TERESA,2,2 - BUENOS AIRES
8743,GARIN,2,GARIN,2,2 - BUENOS AIRES
8744,MAQUINISTA FRANCISCO SAVIO,2,MAQUINISTA FRANCISCO SAVIO,2,2 - BUENOS AIRES
8745,RUTA  26 KM. 48,2,RUTA  26 KM. 48,2,2 - BUENOS AIRES
8746,RUTA  26 MAQUINISTA FRANCISCO,2,RUTA  26 MAQUINISTA FRANCISCO,2,2 - BUENOS AIRES
8747,MAQUINISTA FCO SAVIO,2,MAQUINISTA FCO SAVIO,2,2 - BUENOS AIRES
8748,PTDO  ESCOBAR,2,PTDO  ESCOBAR,2,2 - BUENOS AIRES
8750,BARRIO GARIN NORTE,2,BARRIO GARIN NORTE,2,2 - BUENOS AIRES
8751,BARRIO PARQUE LAMBARE,2,BARRIO PARQUE LAMBARE,2,2 - BUENOS AIRES
